shopName,foodName,category,address,googleMapUrl,rating,reason,note,revisit,visitedAt,source
三廠麵店,大乾醡加蛋加餛飩,新竹麵店,300新竹市北區延平路一段214巷72-2號 ,https://share.google/qu4KVoSyO51FMtyzi,,,大乾醡加蛋加餛飩,,,net
墨多,酪梨鴨、脆皮豬、炸魚塔可,新竹餐廳, 300新竹市北區士林一街50號 ,https://share.google/R0uEokC9rZ0vuZEdG,,,,,,net
Friendy pizzeria,麵餃、牛頰寬麵,新竹義式,300新竹市東區民族路61號 ,https://share.google/VVVt7J1LF3nI8I91e,,,,,,net
阿水哥港點,蝦餃韭菜餃全系列推,新竹港式,300新竹市北區光華東街76巷23弄30-1號 ,https://share.google/6aetTFs1bjDBU0OOO,,,蝦餃韭菜餃全系列推,,,net
麵屋浩,拉麵,新竹拉麵,300新竹市北區北門街87號 ,https://share.google/ttRLa8wT3isJCPmtx,,,濃湯sp 極品，吃完加白飯,,,net
宗初食堂系列,日料,新竹日料,300新竹市北區北門街30號 ,https://share.google/6wytYFOv2PmuYyJbI,,,cp超高品質一流,,,net
探吉飯包,神仙雞腿滷排,新竹便當,300新竹市北區北大路462號 ,https://share.google/6XTGhVs5YUUZT5z65,,,,,,net
山房,塔魚山明治,新竹早餐,300新竹市東區東南街245號 ,https://share.google/0s3G4QY8DmD98cxg9,,,,,,net
默倪,塔魚山明治,新竹早餐,300新竹市北區北大路92巷43弄6號 ,https://share.google/aWpvAmc0LET0eLIey,,,,,,net
創意DIY,蔬菜河粉蛋餅加辣,新竹早餐,300新竹市北區西大路641號 ,https://share.google/XmhfXjcFeZi4huPhQ,,,,,,net
烘蜜,日式炸雞早午餐,新竹早餐,300新竹市東區林森路158巷3號 ,https://share.google/aU7uOLTN2H01QDDGO,,,早午餐,,,net
熒熒商行,水果大蝦莎莎,新竹早餐,300新竹市北區西大路709巷3號 ,https://share.google/x11w8OxVBrJKrJt2I,,,早午餐,,,net
永福胡椒豬肚雞,火鍋,新竹火鍋,300新竹市北區經國路二段384號,https://share.google/P8Q6om6I4hOrvW1Lh,,,豬肚配蔥油醬,,,net
滿美吐司,豬排蛋,新竹宵夜,300新竹市北區中山路177號 ,https://share.google/PqIlzkVZjG0YjDHQ2,,,,,,net
MushaMusha,牛肋咖哩加辣,新竹咖哩,302新竹縣竹北市成功十街112號 ,https://share.google/rcHV6TQaMn0TbsfhQ,,,有新竹店,,,net
上允生魚片,生魚片,新竹生魚片,"300新竹市北區新港三路1-9號區3號1樓,A ",https://share.google/cKTTeMEtgsuxi6Jy5,,,,,,net
Uncle Shawn,燒肉,新竹燒肉,300新竹市東區林森路137號 ,https://share.google/PAffcFsSS2pKfWQZ9,,,干貝漢堡配比目魚蓋飯,,,net
蔣好的味道,正餐,新竹滷肉飯,300新竹市東區新莊街123號 ,https://share.google/nMKY2MkjlyDzLUsgR,,,粥類滷味也很棒,,,net
米舖蛋炒飯 ,炒飯,新竹炒飯,300新竹市東區武昌街27號 ,https://share.google/aLDg72xwcneQgDYNZ,,,紹興炒飯有夠香,,,net
竹北64A sweets,竹北64A sweets,新竹甜點,302新竹縣竹北市莊敬六街252號 ,https://share.google/dmtpQ3iDlDBnF1mn0,,,,,,net
竹北新予小館,排餐,新竹排餐,302新竹縣竹北市文義街326號 ,https://share.google/fX88HsxV28bt14OmL,,,鴨胸、肋排、魚排,,,net
南門壹食,抄手,新竹小吃,300新竹市東區南門街10號 ,https://share.google/FrX3ka4SaJ4cLtZ2H,,,紅油、蒜油抄手一絕,,,net
